,casualty_class,sex_of_casualty,age_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
348,3,1,31,3,1,3,0,0,0,0,1,3
349,1,1,48,3,0,0,0,0,0,8,1,6
350,1,1,24,3,0,0,0,0,0,3,1,5
351,3,2,38,2,5,1,0,0,0,0,1,2
352,1,1,54,3,0,0,0,0,0,5,1,5
353,1,2,28,3,0,0,0,0,0,9,1,2
354,1,1,41,3,0,0,0,0,0,9,1,8
355,2,1,15,3,0,0,1,0,0,9,1,7
356,3,2,47,3,5,1,0,0,0,0,1,4
357,1,1,45,3,0,0,0,0,0,1,1,6
358,3,1,39,3,5,2,0,0,0,0,1,9
359,1,1,34,3,0,0,0,0,0,1,1,4
360,1,1,25,3,0,0,0,0,0,3,1,7
361,3,2,17,3,5,1,0,0,0,0,1,3
362,3,1,28,3,5,1,0,0,0,0,1,2
363,1,1,52,3,0,0,0,0,0,9,1,2
364,1,1,22,3,0,0,0,0,0,3,1,4
365,1,1,27,3,0,0,0,0,0,3,1,3
366,2,2,16,3,0,0,0,0,0,19,1,5
367,1,2,35,3,0,0,0,0,0,9,1,9
368,1,2,35,3,0,0,0,0,0,9,1,5
369,1,2,36,3,0,0,0,0,0,9,1,3
370,1,1,31,3,0,0,0,0,0,1,1,3
371,1,1,43,3,0,0,0,0,0,9,1,4
372,1,2,83,3,0,0,0,0,0,9,1,10
373,1,1,64,3,0,0,0,0,0,9,1,3
374,1,1,27,3,0,0,0,0,0,9,1,3
375,1,1,29,3,0,0,0,0,0,3,1,4
376,3,2,6,3,9,8,0,0,0,0,1,2
377,1,2,60,3,0,0,0,0,0,19,1,9
378,3,1,1,2,5,1,0,0,0,0,1,3
379,3,2,26,3,5,1,0,0,0,0,1,3
380,1,1,40,3,0,0,0,0,0,1,1,2
381,1,2,33,3,0,0,0,0,0,9,1,3
382,1,2,20,3,0,0,0,0,0,9,1,4
383,2,1,12,3,0,0,2,0,0,9,1,4
384,2,2,45,3,0,0,1,0,0,9,1,4
385,3,1,24,3,4,3,0,0,0,0,1,5
386,3,1,68,3,5,1,0,0,0,0,1,2
387,1,2,32,3,0,0,0,0,0,9,1,7
388,3,2,56,2,8,1,0,0,0,0,1,3
